Start,Finish,Steps (count)
20/01/2022 21:00,20/01/2022 22:00,0
20/01/2022 22:00,20/01/2022 23:00,23
20/01/2022 23:00,21/01/2022 0:00,0
21/01/2022 0:00,21/01/2022 1:00,0
21/01/2022 1:00,21/01/2022 2:00,0
21/01/2022 2:00,21/01/2022 3:00,32
21/01/2022 3:00,21/01/2022 4:00,0
21/01/2022 4:00,21/01/2022 5:00,0
21/01/2022 5:00,21/01/2022 6:00,0
21/01/2022 6:00,21/01/2022 7:00,0
21/01/2022 7:00,21/01/2022 8:00,0
21/01/2022 8:00,21/01/2022 9:00,0
21/01/2022 9:00,21/01/2022 10:00,0
21/01/2022 10:00,21/01/2022 11:00,41
21/01/2022 11:00,21/01/2022 12:00,0
21/01/2022 12:00,21/01/2022 13:00,0
21/01/2022 13:00,21/01/2022 14:00,8
21/01/2022 14:00,21/01/2022 15:00,22
21/01/2022 15:00,21/01/2022 16:00,0
21/01/2022 16:00,21/01/2022 17:00,0
21/01/2022 17:00,21/01/2022 18:00,2
21/01/2022 18:00,21/01/2022 19:00,0
21/01/2022 19:00,21/01/2022 20:00,16
21/01/2022 20:00,21/01/2022 21:00,0
21/01/2022 21:00,21/01/2022 22:00,4
21/01/2022 22:00,21/01/2022 23:00,0
21/01/2022 23:00,22/01/2022 0:00,0
22/01/2022 0:00,22/01/2022 1:00,0
22/01/2022 1:00,22/01/2022 2:00,0
22/01/2022 2:00,22/01/2022 3:00,0
22/01/2022 3:00,22/01/2022 4:00,0
22/01/2022 4:00,22/01/2022 5:00,0
22/01/2022 5:00,22/01/2022 6:00,0
22/01/2022 6:00,22/01/2022 7:00,8
22/01/2022 7:00,22/01/2022 8:00,0
22/01/2022 8:00,22/01/2022 9:00,0
22/01/2022 9:00,22/01/2022 10:00,0
22/01/2022 10:00,22/01/2022 11:00,0
22/01/2022 11:00,22/01/2022 12:00,31
22/01/2022 12:00,22/01/2022 13:00,0
22/01/2022 13:00,22/01/2022 14:00,0
22/01/2022 14:00,22/01/2022 15:00,0
22/01/2022 15:00,22/01/2022 16:00,0
22/01/2022 16:00,22/01/2022 17:00,218.0996978
22/01/2022 17:00,22/01/2022 18:00,57.9003022
