Source,Date,Hour,Count
P2’s Apple Watch,2022-08-24,14,15
P2’s Apple Watch,2022-08-24,14,20
P2’s Apple Watch,2022-08-24,14,20
P2’s Apple Watch,2022-08-24,14,5
P2’s Apple Watch,2022-08-24,14,31
P2’s Apple Watch,2022-08-24,14,25
P2’s Apple Watch,2022-08-24,14,55
P2’s Apple Watch,2022-08-24,14,9
P2 Phone,2022-08-24,14,213
P2 Phone,2022-08-24,14,866
P2’s Apple Watch,2022-08-24,14,94
P2’s Apple Watch,2022-08-24,14,32
P2’s Apple Watch,2022-08-24,14,32
P2’s Apple Watch,2022-08-24,14,109
P2’s Apple Watch,2022-08-24,15,110
P2’s Apple Watch,2022-08-24,15,51
P2’s Apple Watch,2022-08-24,15,576
P2’s Apple Watch,2022-08-24,15,12
P2’s Apple Watch,2022-08-24,15,26
P2 Phone,2022-08-24,15,325
P2’s Apple Watch,2022-08-24,15,27
P2’s Apple Watch,2022-08-24,15,114
P2’s Apple Watch,2022-08-24,15,111
P2’s Apple Watch,2022-08-24,15,111
P2’s Apple Watch,2022-08-24,15,107
P2’s Apple Watch,2022-08-24,15,21
P2’s Apple Watch,2022-08-24,15,105
P2’s Apple Watch,2022-08-24,15,99
P2’s Apple Watch,2022-08-24,15,98
P2’s Apple Watch,2022-08-24,15,105
P2’s Apple Watch,2022-08-24,15,105
P2’s Apple Watch,2022-08-24,15,54
P2’s Apple Watch,2022-08-24,15,36
P2 Phone,2022-08-24,15,535
P2 Phone,2022-08-24,15,219
P2 Phone,2022-08-24,15,309
P2 Phone,2022-08-24,16,30
P2’s Apple Watch,2022-08-24,15,294
P2’s Apple Watch,2022-08-24,16,32
P2’s Apple Watch,2022-08-24,16,2
P2’s Apple Watch,2022-08-24,16,47
P2’s Apple Watch,2022-08-24,16,20
P2’s Apple Watch,2022-08-24,16,593
P2 Phone,2022-08-24,16,585
P2 Phone,2022-08-24,16,90
P2 Phone,2022-08-24,17,17
P2’s Apple Watch,2022-08-24,16,27
P2’s Apple Watch,2022-08-24,16,18
P2 Phone,2022-08-24,17,34
P2’s Apple Watch,2022-08-24,17,8
P2’s Apple Watch,2022-08-24,17,24
P2’s Apple Watch,2022-08-24,17,8
P2’s Apple Watch,2022-08-24,17,17
P2’s Apple Watch,2022-08-24,17,16
P2’s Apple Watch,2022-08-24,18,54
P2’s Apple Watch,2022-08-24,18,42
P2’s Apple Watch,2022-08-24,18,12
P2’s Apple Watch,2022-08-24,18,22
P2’s Apple Watch,2022-08-24,18,32
P2’s Apple Watch,2022-08-24,18,28
P2’s Apple Watch,2022-08-24,18,18
P2’s Apple Watch,2022-08-24,18,16
P2’s Apple Watch,2022-08-24,18,24
P2 Phone,2022-08-24,18,132
P2 Phone,2022-08-24,18,150
P2 Phone,2022-08-24,18,62
P2 Phone,2022-08-24,18,73
P2 Phone,2022-08-24,18,504
P2’s Apple Watch,2022-08-24,18,93
P2’s Apple Watch,2022-08-24,18,94
P2’s Apple Watch,2022-08-24,18,39
P2’s Apple Watch,2022-08-24,18,103
P2’s Apple Watch,2022-08-24,18,87
P2’s Apple Watch,2022-08-24,19,90
P2’s Apple Watch,2022-08-24,19,89
P2’s Apple Watch,2022-08-24,19,8
P2’s Apple Watch,2022-08-24,19,87
P2’s Apple Watch,2022-08-24,19,25
P2’s Apple Watch,2022-08-24,19,16
P2’s Apple Watch,2022-08-24,19,5
P2’s Apple Watch,2022-08-24,19,19
P2’s Apple Watch,2022-08-24,19,2
P2’s Apple Watch,2022-08-24,20,9
P2’s Apple Watch,2022-08-24,20,2
P2’s Apple Watch,2022-08-24,20,77
P2’s Apple Watch,2022-08-24,20,549
P2 Phone,2022-08-24,19,39
P2 Phone,2022-08-24,20,23
P2 Phone,2022-08-24,20,614
P2 Phone,2022-08-24,20,212
P2 Phone,2022-08-24,20,38
P2’s Apple Watch,2022-08-24,20,190
P2’s Apple Watch,2022-08-24,20,19
P2’s Apple Watch,2022-08-24,20,8
P2’s Apple Watch,2022-08-24,20,28
P2’s Apple Watch,2022-08-24,21,36
P2’s Apple Watch,2022-08-24,21,14
P2’s Apple Watch,2022-08-24,21,9
P2’s Apple Watch,2022-08-24,21,90
P2’s Apple Watch,2022-08-24,21,16
P2’s Apple Watch,2022-08-24,21,36
P2’s Apple Watch,2022-08-24,21,20
P2’s Apple Watch,2022-08-24,21,15
P2’s Apple Watch,2022-08-24,21,25
P2’s Apple Watch,2022-08-24,21,34
P2’s Apple Watch,2022-08-24,21,34
P2’s Apple Watch,2022-08-24,21,37
P2’s Apple Watch,2022-08-24,21,45
P2’s Apple Watch,2022-08-24,21,7
P2’s Apple Watch,2022-08-24,21,13
P2 Phone,2022-08-24,23,47
P2’s Apple Watch,2022-08-24,23,12
P2’s Apple Watch,2022-08-24,23,13
P2’s Apple Watch,2022-08-24,23,10
P2’s Apple Watch,2022-08-25,06,48
P2’s Apple Watch,2022-08-25,06,18
P2’s Apple Watch,2022-08-25,06,96
P2’s Apple Watch,2022-08-25,06,61
P2’s Apple Watch,2022-08-25,06,33
P2’s Apple Watch,2022-08-25,06,8
P2’s Apple Watch,2022-08-25,06,53
P2’s Apple Watch,2022-08-25,07,7
P2’s Apple Watch,2022-08-25,07,8
P2’s Apple Watch,2022-08-25,07,37
P2’s Apple Watch,2022-08-25,07,21
P2’s Apple Watch,2022-08-25,07,8
P2 Phone,2022-08-25,06,353
P2 Phone,2022-08-25,06,29
P2’s Apple Watch,2022-08-25,07,189
P2’s Apple Watch,2022-08-25,07,37
P2’s Apple Watch,2022-08-25,07,16
P2’s Apple Watch,2022-08-25,07,31
P2’s Apple Watch,2022-08-25,07,20
P2’s Apple Watch,2022-08-25,07,11
P2’s Apple Watch,2022-08-25,07,243
P2 Phone,2022-08-25,07,235
P2 Phone,2022-08-25,07,11
P2 Phone,2022-08-25,07,20
P2’s Apple Watch,2022-08-25,07,21
P2’s Apple Watch,2022-08-25,07,53
P2’s Apple Watch,2022-08-25,07,66
P2’s Apple Watch,2022-08-25,07,16
P2’s Apple Watch,2022-08-25,08,120
P2’s Apple Watch,2022-08-25,08,30
P2 Phone,2022-08-25,07,162
P2 Phone,2022-08-25,08,67
P2 Phone,2022-08-25,08,37
P2’s Apple Watch,2022-08-25,09,16
P2’s Apple Watch,2022-08-25,09,22
P2 Phone,2022-08-25,10,70
P2’s Apple Watch,2022-08-25,10,24
P2’s Apple Watch,2022-08-25,10,4
P2’s Apple Watch,2022-08-25,10,23
P2’s Apple Watch,2022-08-25,10,31
P2 Phone,2022-08-25,10,51
